mhjd	mag_A	magerr_A	mag_B	magerr_B	mag_C	magerr_C	mag_D	magerr_D
54557.06407	-12.58649	0.00837	-11.95341	0.01262	-10.88927	0.02985	-09.91022	0.05269
54582.18897	-12.66213	0.00836	-12.04632	0.01282	-11.03917	0.02876	-09.89745	0.06877
54587.98210	-12.65637	0.00862	-12.09466	0.01290	-11.07871	0.02757	-09.94763	0.07097
54590.99941	-12.61721	0.00811	-12.04537	0.01223	-11.02105	0.02459	-09.99773	0.05977
54595.01232	-12.60052	0.00814	-12.05647	0.01210	-11.10365	0.02467	-10.22459	0.05977
54596.15809	-12.59411	0.00773	-11.99852	0.01117	-11.09424	0.02369	-09.99846	0.05515
54597.09059	-12.58438	0.00814	-11.99649	0.01238	-11.08832	0.02605	-10.12333	0.06270
54598.15346	-12.59286	0.00867	-12.02523	0.01337	-11.11012	0.02886	-10.04556	0.07246
54598.98608	-12.60512	0.01067	-12.01725	0.01649	-11.09459	0.03671	-10.04903	0.09009
54606.13792	-12.54456	0.01168	-11.96217	0.01936	-11.03213	0.04694	-10.15128	0.10172
54606.97610	-12.53706	0.01090	-11.96020	0.01773	-11.07637	0.03771	-10.18966	0.08702
54608.06067	-12.51031	0.00948	-11.93799	0.01519	-11.09977	0.03467	-10.16944	0.06695
54617.98807	-12.53130	0.01033	-11.99402	0.01631	-10.96171	0.03528	-10.30739	0.06486
54622.98967	-12.49697	0.00902	-11.92044	0.01410	-10.88630	0.02858	-10.29171	0.05003
54632.96190	-12.49892	0.01324	-11.92285	0.02232	-10.81210	0.05102	-10.43863	0.07840
54639.01726	-12.55974	0.00966	-11.94213	0.01517	-10.86597	0.03435	-10.39780	0.04514
54642.00300	-12.56512	0.01013	-11.93820	0.01541	-10.88175	0.03881	-10.40636	0.04963
54643.96976	-12.59939	0.00962	-11.92460	0.01542	-10.98621	0.03464	-10.38469	0.04506
54647.97298	-12.62483	0.01455	-11.97505	0.02571	-10.85086	0.06171	-10.45563	0.07860
54653.01841	-12.60936	0.00864	-11.98046	0.01337	-10.84969	0.03032	-10.30709	0.03527
54658.01400	-12.56245	0.01342	-11.95727	0.02255	-10.88253	0.05483	-10.44756	0.06913
54661.98977	-12.51185	0.01026	-11.92015	0.01708	-10.86407	0.03984	-10.44044	0.03994
54813.35420	-13.03211	0.01042	-12.14541	0.02132	-11.10643	0.05603	-10.72439	0.11696
54817.34453	-12.97177	0.00877	-12.15094	0.01656	-11.08830	0.04376	-10.74079	0.08820
54823.29837	-12.92061	0.00646	-12.09893	0.01132	-11.24294	0.02296	-10.79889	0.04255
54828.31656	-12.95482	0.00636	-12.04438	0.01045	-11.07527	0.02228	-10.80598	0.03844
54830.35272	-12.99582	0.00733	-12.02543	0.01317	-11.10884	0.02943	-10.80113	0.05509
54833.34028	-12.97217	0.00610	-12.04939	0.00976	-11.10510	0.01959	-10.77882	0.03216
54837.34065	-13.03448	0.00622	-12.08671	0.01025	-11.08154	0.02177	-10.75206	0.03741
54841.25296	-13.08427	0.00850	-12.11932	0.01654	-11.03080	0.04176	-10.73746	0.07154
54853.24006	-12.97034	0.00688	-12.06460	0.01139	-11.09488	0.02443	-10.72449	0.03903
54867.25706	-12.97452	0.00618	-12.10466	0.01031	-11.08044	0.02177	-10.79133	0.03277
54869.21662	-12.95081	0.00770	-12.10491	0.01450	-11.06874	0.03495	-10.80540	0.05528
54871.28294	-12.96195	0.00988	-12.13633	0.01995	-11.06485	0.05264	-10.82245	0.08592
54876.33822	-12.97748	0.00845	-12.11373	0.01614	-11.07536	0.04171	-10.82495	0.06660
54877.22162	-12.94662	0.00785	-12.13175	0.01410	-11.02121	0.03577	-10.80784	0.05711
54878.25318	-12.98360	0.00619	-12.13514	0.01029	-11.01032	0.02149	-10.81055	0.03286
54883.13079	-13.04753	0.00604	-12.11910	0.00966	-11.01485	0.02105	-10.75117	0.03385
54888.15853	-13.03779	0.00595	-12.19083	0.01010	-11.07408	0.02060	-10.71722	0.03194
54899.18044	-13.08788	0.00828	-12.21689	0.01693	-11.09342	0.03924	-10.72183	0.07087
54900.15423	-13.07519	0.01194	-12.21213	0.02313	-11.04410	0.06679	-10.73058	0.10881
54903.19516	-13.08544	0.01030	-12.19239	0.02107	-11.05879	0.05295	-10.76210	0.09131
54904.14648	-13.08608	0.00826	-12.20675	0.01720	-11.07677	0.03886	-10.75729	0.07024
54905.16718	-13.08960	0.00695	-12.20556	0.01285	-11.05908	0.03015	-10.75805	0.05416
54906.16951	-13.09398	0.00748	-12.19663	0.01425	-11.04936	0.03533	-10.83803	0.06336
54907.17708	-13.09624	0.00643	-12.18577	0.01141	-11.08027	0.02458	-10.79353	0.04730
54908.15560	-13.09752	0.00633	-12.20602	0.01059	-11.04676	0.02370	-10.83270	0.04213
54910.16571	-13.08886	0.00619	-12.21717	0.01110	-11.10928	0.02347	-10.72821	0.04403
54914.20051	-13.08871	0.00591	-12.20861	0.01002	-11.13973	0.02031	-10.73267	0.03739
54919.12985	-13.08476	0.00613	-12.15736	0.00998	-11.19885	0.02093	-10.71047	0.03787
54924.13994	-13.03344	0.00684	-12.23992	0.01129	-11.19365	0.02668	-10.71637	0.04494
54926.07451	-13.02339	0.00821	-12.22551	0.01512	-11.21851	0.03747	-10.71471	0.06414
54932.15999	-13.07281	0.00899	-12.17138	0.01805	-11.10326	0.04509	-10.69376	0.07092
54934.12532	-13.10735	0.00700	-12.15779	0.01282	-10.99740	0.03135	-10.73923	0.04895
54940.08743	-13.14752	0.00580	-12.28687	0.01055	-10.98240	0.02189	-10.70147	0.03772
54945.07509	-13.22269	0.00567	-12.19846	0.01003	-11.03085	0.02304	-10.76786	0.03990
54950.17638	-13.26508	0.00564	-12.29927	0.01136	-10.93243	0.02450	-10.79840	0.04296
54954.99412	-13.29632	0.00679	-12.24417	0.01423	-11.08268	0.04322	-10.80226	0.06819
54960.99061	-13.29855	0.00711	-12.34733	0.01606	-11.14880	0.04760	-10.85583	0.07707
54965.98509	-13.26725	0.00564	-12.30680	0.01066	-11.15601	0.02328	-10.85720	0.04127
54972.02523	-13.19214	0.00568	-12.29575	0.01061	-11.21472	0.02183	-10.85406	0.03428
54978.00158	-13.18585	0.00568	-12.23211	0.01047	-11.28589	0.02193	-10.88123	0.03392
54984.00258	-13.22527	0.01120	-12.19509	0.03058	-11.19665	0.06956	-10.82344	0.12806
54991.97393	-13.27528	0.00567	-12.35437	0.01150	-11.31392	0.02496	-10.87549	0.03985
54997.96471	-13.29818	0.00593	-12.24174	0.01137	-10.98592	0.03250	-10.83993	0.04577
55011.96192	-13.25388	0.00879	-12.17946	0.01890	-11.19141	0.05960	-10.96681	0.08103
55018.96869	-13.25788	0.00717	-12.18214	0.01651	-11.26925	0.04090	-11.03923	0.06283
55020.97843	-13.23266	0.00649	-12.21998	0.01368	-11.11071	0.03492	-11.06094	0.05029
55031.96393	-13.17904	0.00941	-12.10769	0.02087	-11.11980	0.05488	-11.09188	0.08060
55036.95972	-13.26063	0.01039	-12.08153	0.02588	-11.11132	0.07017	-11.03047	0.09267
55167.34496	-13.27837	0.00924	-12.06418	0.02201	-11.09359	0.04934	-10.98702	0.06459
55172.34888	-13.34465	0.00852	-12.04621	0.02189	-11.25756	0.04606	-10.91361	0.06322
55176.34783	-13.31826	0.00575	-12.04351	0.01298	-11.05805	0.02795	-10.88970	0.03454
55183.32292	-13.41165	0.00517	-12.12779	0.01071	-11.07497	0.01974	-10.83542	0.02859
55187.35264	-13.44613	0.00685	-12.18921	0.01715	-11.02905	0.03939	-10.79023	0.06103
55191.33007	-13.47627	0.00496	-12.25114	0.01042	-11.12132	0.01934	-10.75654	0.03118
55195.27534	-13.51031	0.00644	-12.31645	0.01664	-11.08959	0.03530	-10.72964	0.06147
55203.33915	-13.45902	0.00586	-12.32226	0.01351	-11.27319	0.03059	-10.76120	0.05520
55207.31049	-13.36696	0.00515	-12.30277	0.00982	-11.24202	0.01878	-10.80808	0.03272
55211.25642	-13.30422	0.00531	-12.20676	0.01004	-11.31088	0.01904	-10.86161	0.03586
55215.25190	-13.23650	0.00540	-12.22350	0.01001	-11.38592	0.01853	-10.87743	0.03345
55219.26207	-13.17109	0.00563	-12.11745	0.01035	-11.40665	0.02136	-10.85224	0.03705
55231.30763	-13.14001	0.00741	-12.17353	0.01623	-11.28071	0.03454	-10.70870	0.06199
55235.24052	-13.14499	0.00614	-12.15344	0.01151	-11.23582	0.02349	-10.70054	0.03522
55239.19003	-13.11288	0.00633	-12.15777	0.01134	-11.20170	0.02318	-10.74481	0.03430
55243.26747	-13.03417	0.00584	-12.12303	0.01024	-11.20774	0.01953	-10.74626	0.02929
55244.25723	-13.07588	0.00577	-12.12983	0.01006	-11.21602	0.01915	-10.76198	0.02832
55246.20328	-13.04968	0.00598	-12.13024	0.01084	-11.17367	0.02164	-10.78061	0.03310
55247.23164	-13.01805	0.00609	-12.12037	0.01109	-11.15863	0.02308	-10.79935	0.03540
55248.17500	-13.04279	0.00609	-12.11822	0.01117	-11.16906	0.02198	-10.80119	0.03587
55249.25556	-13.04727	0.00598	-12.11248	0.01078	-11.17864	0.02087	-10.81980	0.03361
55250.21101	-13.00664	0.00604	-12.09086	0.01068	-11.17626	0.02256	-10.82476	0.03353
55251.19317	-12.97216	0.00664	-12.09015	0.01240	-11.15621	0.02643	-10.87777	0.04274
55252.27459	-12.96636	0.00761	-12.08161	0.01496	-11.17662	0.03413	-10.83614	0.05777
55253.24785	-12.96974	0.00810	-12.04036	0.01618	-11.14824	0.03846	-10.83617	0.06051
55254.13982	-12.96948	0.00966	-12.04785	0.02077	-11.18659	0.04667	-10.87283	0.07694
55255.17759	-12.91771	0.01245	-12.04718	0.02746	-11.23043	0.06538	-10.82428	0.10660
55259.18410	-12.88140	0.00896	-12.06516	0.01789	-11.13685	0.04085	-10.91240	0.06335
55263.24311	-12.83749	0.00691	-12.02510	0.01250	-11.15883	0.02447	-10.91659	0.03940
55267.10583	-12.83383	0.00690	-12.06062	0.01271	-11.15134	0.02508	-10.87470	0.03802
55271.19899	-12.80933	0.00672	-11.96672	0.01175	-11.12170	0.02243	-10.85440	0.03185
55272.18421	-12.80321	0.00652	-11.94149	0.01123	-11.11089	0.02151	-10.88619	0.02877
55274.19791	-12.79342	0.00672	-11.96243	0.01204	-11.14464	0.02289	-10.85038	0.03101
55275.14155	-12.80522	0.00742	-11.98272	0.01353	-11.11710	0.02767	-10.81491	0.03819
55276.15083	-12.80397	0.00670	-12.02163	0.01134	-11.10766	0.02199	-10.82397	0.02811
55278.16187	-12.78395	0.00721	-11.95969	0.01282	-11.09369	0.02497	-10.78877	0.03359
55279.16393	-12.77507	0.00817	-11.96803	0.01594	-11.10778	0.03404	-10.82436	0.04424
55280.13151	-12.76076	0.00856	-11.97290	0.01661	-11.08145	0.03474	-10.75366	0.04663
55281.09327	-12.78028	0.00886	-11.98749	0.01752	-11.06015	0.03571	-10.77081	0.04776
55282.11010	-12.79105	0.00953	-11.93334	0.01971	-11.06136	0.04013	-10.75068	0.05228
55291.14184	-12.76628	0.00688	-11.84976	0.01216	-10.97770	0.02346	-10.66957	0.02805
55295.13594	-12.78591	0.00719	-11.91244	0.01243	-10.99648	0.02430	-10.63964	0.02948
55299.12367	-12.70950	0.00754	-11.86954	0.01320	-10.99272	0.02482	-10.63410	0.03290
55304.09454	-12.67546	0.00822	-11.87050	0.01391	-11.00874	0.03076	-10.61667	0.03825
55308.11035	-12.61501	0.00855	-11.82001	0.01549	-10.96000	0.03168	-10.62174	0.04499
55314.07622	-12.56761	0.01839	-11.74644	0.03573	-10.96255	0.08541	-10.60014	0.12009
55317.18198	-12.53687	0.01335	-11.75128	0.02693	-10.92651	0.06328	-10.55320	0.08254
55321.09059	-12.48122	0.00904	-11.67554	0.01544	-10.95900	0.03139	-10.59845	0.04499
55324.04611	-12.49746	0.01024	-11.72876	0.01803	-10.71471	0.03664	-10.51147	0.05447
55341.01169	-12.55276	0.01510	-11.63887	0.02953	-10.65043	0.05800	-10.41171	0.09120
55341.96571	-12.61627	0.01644	-11.70900	0.03248	-10.63277	0.06532	-10.39910	0.09809
55347.02560	-12.50135	0.01157	-11.68893	0.02195	-10.71008	0.05030	-10.38984	0.07437
55348.04061	-12.50460	0.00895	-11.62727	0.01538	-10.70621	0.03284	-10.37609	0.04988
55364.01347	-12.55034	0.00932	-11.78828	0.01727	-10.70178	0.03777	-10.32800	0.06533
55372.96206	-12.51324	0.01498	-11.70053	0.03112	-10.83455	0.07007	-10.27425	0.13484
55378.01064	-12.54775	0.00928	-11.74052	0.01604	-10.90597	0.03708	-10.24303	0.06353
55384.98159	-12.60092	0.00973	-11.71500	0.01829	-10.75897	0.04081	-10.16720	0.07886
55388.99518	-12.62454	0.00871	-11.73737	0.01579	-10.79143	0.03468	-10.16016	0.07346
55399.96595	-12.71869	0.01477	-11.88818	0.03011	-10.67867	0.08059	-10.05742	0.18601
